timeStamp,rawData
3887788,149
3889176,148
3890564,149
3891952,149
3893340,148
3895812,148
3896116,148
3897517,148
3898952,149
3900284,149
3901668,149
3903056,148
3904459,148
3905864,148
3907220,148
3908608,149
3909996,148
3911384,149
3912772,149
3914160,149
3915545,149
3916936,149
3918324,149
3919712,149
3921100,149
3922488,149
3923876,149
3925264,149
3926652,149
3928040,149
3929428,149
3930885,149
3932204,149
3933618,149
3934980,149
3936368,149
3937759,149
3939186,149
3940532,149
3941920,149
3943308,149
3944696,149
3946084,149
3947473,149
3948860,149
3950248,149
3951636,149
3953021,149
3954412,149
3955810,149
3957191,149
3958577,149
3959964,149
3961353,149
3962740,149
3964128,149
3965513,149
3966904,149
3968289,149
3969680,149
3971065,149
3972456,149
3973844,149
3975232,149
3976620,149
3978008,149
3979396,149
3980826,149
3982172,149
3983560,149
3984948,149
3986336,149
3987724,149
3989112,149
3990500,149
3991888,149
3993276,149
3994664,149
3996052,149
3997440,149
3998828,149
4000216,149
4001604,149
4002992,149
4004377,149
4005779,149
4007156,149
4008544,149
4009932,149
4011320,149
4012708,149
4014096,149
4015484,149
4017710,149
4018260,149
4019648,149
4021036,149
4022424,149
4023812,149
4025200,149
4026588,149
4027973,149
4029364,149
4030772,149
4032140,149
4033528,149
4034916,149
4036422,149
4037707,148
4039159,149
4040506,149
4041856,149
4043244,149
4044632,149
4046020,149
4047408,149
4049933,149
4050197,148
4051632,148
4052964,148
4054348,149
4055768,149
4057124,149
4058512,149
4059900,149
4061288,148
4062676,149
4064064,149
4065452,149
4066840,149
4068228,149
4069616,149
4071004,149
4072392,149
4073780,149
4075168,149
4076556,149
4077944,149
4079332,149
4080782,149
4082108,149
4083496,149
4084884,149
4086272,149
4087660,149
4089048,149
4090436,149
4091824,149
4093212,149
4094600,148
4095988,148
4097376,149
4098764,148
4100152,148
4101540,149
4102928,148
4104316,148
4105717,149
4107092,149
4108480,149
4109868,149
4111256,149
4112644,149
4114032,149
4115420,149
4116808,149
4118196,149
4119584,149
4120972,149
4122360,149
4123748,149
4125136,149
4126524,149
4127912,149
4129300,149
4130766,149
4132076,149
4133464,149
4134852,149
4136240,149
4137628,149
4139042,149
4140407,149
4141834,149
4143180,149
4144568,149
4145956,149
4147344,149
4148732,148
4150120,148
4151508,148
4152896,148
4154284,148
4155683,148
4157060,149
4158448,149
4159836,148
4161224,149
4162612,149
4164000,149
4165388,148
4166776,149
4168164,148
4169549,149
4171762,149
4172328,149
4173716,149
4175104,149
4176492,149
4177877,149
4179268,149
4180717,149
4182044,149
4183432,149
4184820,149
4186208,149
4187593,149
4188984,149
4190372,149
4191760,149
4193148,149
4194536,149
4195924,149
4197312,149
4198700,149
4200088,149
4201476,149
4204024,149
4204292,147
4205737,149
4207032,149
4208416,149
4209804,149
4211192,149
4212580,149
4213968,149
4215356,149
4216744,149
4218132,149
4219520,149
4220908,149
4222296,149
4223684,149
4225072,149
4226457,149
4227848,149
4229236,149
4230635,149
4232012,149
4233400,149
4234788,149
4236176,149
4237564,149
4238952,149
4240340,149
4241754,149
4243158,149
4244504,149
4245892,149
4247280,149
4248668,149
4250056,149
4251444,149
4252832,149
4254217,149
4255621,149
4256996,149
4258384,149
4259772,149
4261160,148
4262548,149
4263936,149
4265324,149
4266712,149
4268100,149
4269488,149
4270876,149
4272264,149
4273649,149
4275040,149
4276428,149
4277816,149
4279204,149
4280654,149
4281980,149
4283368,149
4284756,149
4286144,149
4287532,149
4288920,149
4290308,149
4291696,149
4293084,149
4294472,149
4295860,149
4297248,149
4298636,149
4300024,149
4301412,149
4302800,149
4304188,149
4305587,149
4306964,149
4308352,149
4309740,149
4311128,149
4312513,149
4313904,149
4315292,149
4316680,148
4318068,148
4319453,148
4320844,148
4322232,148
4323620,148
4325834,148
4326396,148
4327784,148
4329172,148
4330579,148
4331948,148
4333336,148
4334724,148
4336112,148
4337500,148
4338888,148
4340276,149
4341664,149
4343170,149
4344600,148
4345832,148
4347216,148
4348604,149
4349992,148
4351380,149
4352768,149
4354156,148
4355559,149
4358200,148
4358404,148
4359765,149
4361100,149
4362484,149
4363872,149
4365260,149
4366648,149
4368036,149
4369424,149
4370812,149
4372200,149
4373588,149
4374976,149
4376364,149
4377752,149
4379140,149
4380610,149
4381916,149
4383304,149
4384692,149
4386080,149
4387468,149
4388856,149
4390244,149
4391632,149
4393020,149
4394408,149
4395796,149
4397184,149
4398572,149
4399960,149
4401348,149
4402736,149
4404124,149
4405524,149
4406900,149
4408288,149
4409676,149
4411064,149
4412452,149
4413840,149
4415228,149
4416616,149
4418004,149
4419392,149
4420780,148
4422168,148
4423556,148
4424944,148
4426332,148
4427720,148
4429108,148
4430549,148
4431884,149
4433272,149
4434660,148
4436048,149
4437436,149
4438824,149
4440212,149
4441600,149
4442988,149
4444376,149
4445824,149
4447149,149
4448540,149
4449928,149
4451313,149
4452704,149
4454092,149
4455491,149
4456868,149
4458256,149
4459644,149
4461032,149
4462420,149
4463808,149
4465196,149
4466584,149
4467972,149
4469360,149
4470748,149
4472136,149
4473524,149
4474912,149
4476300,149
4477688,149
4479898,149
4480526,148
4481852,149
4483240,149
4484628,149
4486016,149
4487404,149
4488792,149
4490180,149
4491568,149
4492956,149
4494344,149
4495732,149
4497120,149
4498511,149
4499893,149
4501284,149
4502672,149
4504060,148
4505459,149
4506836,149
4508224,149
4509612,149
4512182,149
4512392,148
4513833,149
4515168,148
4516552,149
4517940,149
4519328,149
4520716,149
4522104,149
4523492,149
4524880,149
4526268,149
4527656,149
4529044,149
4530435,149
4531851,149
4533208,149
4534596,149
4535984,149
4537372,149
4538760,149
4540148,149
4541536,149
4542924,149
4544312,149
4545703,149
4547122,149
4548502,149
4549864,149
4551252,148
4552637,149
4554028,149
4555419,149
4556814,149
4558192,149
4559580,149
4560968,149
4562356,149
4563744,149
4565132,149
4566520,149
4567908,149
4569296,149
4570684,149
4572072,149
4573460,149
4574848,149
4576236,149
4577624,149
4579012,149
4580402,149
4581850,149
4583176,149
4584564,149
4585952,149
4587340,149
4588728,149
4590116,149
4591504,149
4592892,149
4594280,149
4595668,149
4597056,149
4598444,149
4599832,149
4601220,149
4602608,149
4603996,149
4605384,149
4606782,149
4608160,149
4609545,149
4610936,149
4612324,148
4613712,149
4615100,149
4616488,148
4617876,149
4619264,149
4620652,149
4622040,149
4623428,149
4624816,149
4626204,149
4627592,149
4628980,149
4630370,149
4631767,149
4633963,149
4634532,149
4635920,149
4637308,149
4638696,149
4640084,149
4641472,149
4642860,149
4644248,149
4645636,149
4647027,149
4648462,149
4649800,149
4651305,149
4652698,149
4653968,149
4655352,149
4656759,148
4658128,149
4659516,148
4660904,148
4662292,148
4663680,148
4666332,148
4666527,148
4667904,148
4669236,148
4670623,148
4672005,148
4673396,148
4674784,149
4676172,149
4677560,148
4678948,148
4680339,149
4681845,148
4683112,148
4684500,148
4685888,148
4687276,148
4688664,148
4690052,149
4691440,149
4692828,148
4694216,148
4695601,148
4696992,148
4698380,148
4699768,148
4701156,148
4702544,149
4703932,148
4705323,148
4706720,149
4708096,149
4709484,149
4710873,149
4712260,149
4713651,149
4715037,148
4716424,149
4717812,149
4719200,149
4720585,149
4721976,149
4723361,149
4724752,149
4726140,149
4727525,149
4728916,149
4730304,149
